name,tdOdds,tdProbability
bucky irving,+550,15.38
emeka egbuka,+550,15.38
chris godwin,+900,10.0
chris olave,+1200,7.69
cade otton,+1200,7.69
devin neal,+1500,6.25
rachaad white,+1400,6.67
taysom hill,+1600,5.88
juwan johnson,+1900,5.0
tez johnson,+1500,6.25
devaughn vele,+1800,5.26
buccaneers,+2200,4.35
sean tucker,+2200,4.35
sterling shepard,+2000,4.76
saints,+2200,4.35
mason tipton,+3000,3.23
tyler shough,+3500,2.78
baker mayfield,+3500,2.78
foster moreau,+5500,1.79
evan hull,+5500,1.79
payne durham,+5000,1.96
ryan miller,+6000,1.64
kameron johnson,+6500,1.52
devin culp,+8000,1.23
dante pettis,+12000,0.83
audric estime,+10000,0.99
jack stoll,+11000,0.9
kevin austin,+13000,0.76
bijan robinson,+450,18.18
jaxon smithnjigba,+550,15.38
zach charbonnet,+700,12.5
kenneth walker,+750,11.76
aj barner,+1200,7.69
tyler allgeier,+1100,8.33
kyle pitts,+1300,7.14
rashid shaheed,+1600,5.88
cooper kupp,+1800,5.26
darnell mooney,+1900,5.0
seahawks,+2500,3.85
falcons,+2500,3.85
david sills v,+2800,3.45
elijah arroyo,+3000,3.23
dylan drummond,+3500,2.78
charlie woerner,+5000,1.96
sam darnold,+5000,1.96
teagan quitoriano,+7500,1.32
jake bobo,+7500,1.32
velus jones,+7000,1.41
jamal agnew,+9000,1.1
khadarel hodge,+9000,1.1
robbie ouzts,+9000,1.1
cody white,+10000,0.99
kirk cousins,+9000,1.1
deven thompkins,+9000,1.1
nick kallerup,+11000,0.9
brady russell,+12000,0.83
feleipe franks,+14000,0.71
james cook,+425,19.05
josh allen,+500,16.67
jamarr chase,+800,11.11
chase brown,+950,9.52
tee higgins,+1400,6.67
dalton kincaid,+1500,6.25
khalil shakir,+1600,5.88
dawson knox,+1800,5.26
samaje perine,+2000,4.76
gabriel davis,+2000,4.76
keon coleman,+2000,4.76
mike gesicki,+3000,3.23
andrei iosivas,+3000,3.23
bills,+3000,3.23
ty johnson,+2800,3.45
bengals,+3000,3.23
jackson hawes,+3500,2.78
ray davis,+3500,2.78
tyrell shavers,+4000,2.44
joe burrow,+4500,2.17
noah fant,+5000,1.96
tanner hudson,+5000,1.96
brandin cooks,+4000,2.44
drew sample,+5000,1.96
mitchell tinsley,+6000,1.64
tahj brooks,+10000,0.99
charlie jones,+11000,0.9
reggie gilliam,+11000,0.9
jonathan taylor,+320,23.81
travis etienne,+800,11.11
tyler warren,+800,11.11
jakobi meyers,+1400,6.67
michael pittman,+1000,9.09
alec pierce,+1200,7.69
bhayshul tuten,+1300,7.14
brian thomas,+1600,5.88
brenton strange,+1600,5.88
josh downs,+1600,5.88
trevor lawrence,+2000,4.76
jaguars,+2200,4.35
colts,+2200,4.35
tim patrick,+2800,3.45
dyami brown,+4000,2.44
daniel jones,+3000,3.23
austin trammell,+4500,2.17
lequint allen,+5500,1.79
ameer abdullah,+5500,1.79
andrew ogletree,+6000,1.64
hunter long,+8000,1.23
quintin morris,+8000,1.23
mo aliecox,+8000,1.23
anthony gould,+8000,1.23
tyler goodson,+9000,1.1
laquon treadwell,+11000,0.9
derrick henry,+425,19.05
mark andrews,+850,10.53
jaylen warren,+950,9.52
zay flowers,+1000,9.09
dk metcalf,+1200,7.69
lamar jackson,+1300,7.14
kenneth gainwell,+1400,6.67
isaiah likely,+1600,5.88
rashod bateman,+1900,5.0
darnell washington,+2200,4.35
jonnu smith,+2500,3.85
ravens,+2500,3.85
deandre hopkins,+2500,3.85
steelers,+2500,3.85
pat freiermuth,+3000,3.23
calvin austin,+3000,3.23
keaton mitchell,+2800,3.45
rasheen ali,+3000,3.23
marquez valdesscantling,+3500,2.78
adam thielen,+4000,2.44
scott miller,+5000,1.96
ben skowronek,+5500,1.79
lajohntay wester,+5000,1.96
charlie kolar,+6000,1.64
tylan wallace,+5500,1.79
patrick ricard,+7000,1.41
connor heyward,+8000,1.23
kaleb johnson,+7500,1.32
aaron rodgers,+9000,1.1
devon achane,+390,20.41
breece hall,+550,15.38
jaylen waddle,+900,10.0
adonai mitchell,+1000,9.09
darren waller,+1000,9.09
mason taylor,+1600,5.88
ollie gordon,+1400,6.67
john metchie,+1600,5.88
malik washington,+1700,5.56
tyrod taylor,+2000,4.76
jets,+2500,3.85
dolphins,+2500,3.85
isaiah davis,+3000,3.23
isaiah williams,+3000,3.23
jeremy ruckert,+3000,3.23
greg dulcich,+3500,2.78
julian hill,+4000,2.44
allen lazard,+4500,2.17
cedrick wilson,+5000,1.96
jaylen wright,+5000,1.96
nick westbrookikhine,+5000,1.96
alec ingold,+7000,1.41
arian smith,+7500,1.32
dee eskridge,+7500,1.32
tua tagovailoa,+7500,1.32
stone smartt,+9000,1.1
khalil herbert,+9000,1.1
kene nwangwu,+10000,0.99
andrew beck,+16000,0.62
quinshon judkins,+360,21.74
tony pollard,+1000,9.09
harold fannin,+1000,9.09
jerry jeudy,+1300,7.14
tyjae spears,+1400,6.67
elic ayomanor,+1600,5.88
cedric tillman,+1800,5.26
chimere dike,+1800,5.26
browns,+1600,5.88
dylan sampson,+1800,5.26
david njoku,+1900,5.0
gunnar helm,+2000,4.76
titans,+1700,5.56
jerome ford,+2000,4.76
van jefferson,+2500,3.85
chigoziem okonkwo,+2500,3.85
shedeur sanders,+2500,3.85
cameron ward,+2500,3.85
isaiah bond,+3000,3.23
malachi corley,+4000,2.44
gage larvadain,+5500,1.79
james proche,+5500,1.79
blake whiteheart,+6500,1.52
julius chestnut,+7500,1.32
david martinrobinson,+10000,0.99
kalel mullings,+10000,0.99
mason kinsey,+11000,0.9
aaron jones,+750,11.76
justin jefferson,+850,10.53
chris rodriguez,+950,9.52
deebo samuel,+1100,8.33
terry mclaurin,+1200,7.69
jordan addison,+1300,7.14
jordan mason,+1100,8.33
jayden daniels,+1300,7.14
zach ertz,+1300,7.14
tj hockenson,+1800,5.26
jj mccarthy,+1700,5.56
jacory croskeymerritt,+2000,4.76
jalen nailor,+2200,4.35
commanders,+2500,3.85
vikings,+2200,4.35
jeremy mcnichols,+2800,3.45
treylon burks,+3000,3.23
josh oliver,+3000,3.23
noah brown,+3000,3.23
john bates,+5000,1.96
jaylin lane,+4500,2.17
tai felton,+7500,1.32
myles price,+7000,1.41
zavier scott,+7500,1.32
colson yankoff,+8000,1.23
ben sinnott,+8000,1.23
ben sims,+8000,1.23
cj ham,+11000,0.9
rj harvey,+450,18.18
ashton jeanty,+700,12.5
courtland sutton,+750,11.76
brock bowers,+1000,9.09
troy franklin,+900,10.0
pat bryant,+1400,6.67
bo nix,+1400,6.67
evan engram,+1500,6.25
tre tucker,+2000,4.76
jaleel mclaughlin,+1800,5.26
broncos,+2000,4.76
raiders,+2000,4.76
marvin mims,+2200,4.35
adam trautman,+2500,3.85
jack bech,+3000,3.23
tyler lockett,+3500,2.78
ian thomas,+4500,2.17
tyler badie,+4000,2.44
raheem mostert,+4500,2.17
geno smith,+4500,2.17
liljordan humphrey,+5000,1.96
marcedes lewis,+7500,1.32
dylan laube,+8000,1.23
adam prentice,+7500,1.32
carter runyon,+11000,0.9
shedrick jackson,+10000,0.99
zamir white,+11000,0.9
dj turner,+11000,0.9
davante adams,+450,18.18
puka nacua,+500,16.67
kyren williams,+600,14.29
trey mcbride,+950,9.52
michael wilson,+1300,7.14
zonovan knight,+1200,7.69
colby parkinson,+1100,8.33
blake corum,+1600,5.88
michael carter,+1900,5.0
andre baccellia,+3500,2.78
xavier smith,+2500,3.85
rams,+2800,3.45
elijah higgins,+3500,2.78
konata mumpfield,+2800,3.45
cardinals,+2800,3.45
jordan whittington,+3000,3.23
jalen brooks,+4000,2.44
davis allen,+3000,3.23
trent sherfield,+3500,2.78
terrance ferguson,+3500,2.78
jacoby brissett,+4500,2.17
nick vannett,+4000,2.44
josiah deguara,+9000,1.1
pharaoh brown,+10000,0.99
matthew stafford,+8000,1.23
corey kiner,+11000,0.9
ronnie rivers,+11000,0.9
jarquez hunter,+11000,0.9
josh jacobs,+390,20.41
christian watson,+900,10.0
romeo doubs,+1000,9.09
dandre swift,+1100,8.33
kyle monangai,+1100,8.33
dj moore,+1600,5.88
emanuel wilson,+1500,6.25
dontayvion wicks,+1500,6.25
luther burden,+1700,5.56
matthew golden,+1700,5.56
colston loveland,+2000,4.76
jayden reed,+1800,5.26
caleb williams,+2000,4.76
olamide zaccheaus,+2500,3.85
packers,+2500,3.85
luke musgrave,+2800,3.45
bears,+2500,3.85
jordan love,+2800,3.45
cole kmet,+3000,3.23
josh whyle,+3000,3.23
john fitzpatrick,+3500,2.78
chris brooks,+6500,1.52
devin duvernay,+8000,1.23
durham smythe,+11000,0.9
jahdae walker,+12000,0.83
travis homer,+12000,0.83
kareem hunt,+550,15.38
rashee rice,+600,14.29
woody marks,+850,10.53
nico collins,+950,9.52
travis kelce,+900,10.0
xavier worthy,+1300,7.14
dalton schultz,+1500,6.25
jayden higgins,+1800,5.26
isiah pacheco,+1800,5.26
nick chubb,+1800,5.26
chiefs,+2000,4.76
texans,+2000,4.76
patrick mahomes,+2000,4.76
christian kirk,+2500,3.85
jaylin noel,+3500,2.78
noah gray,+3000,3.23
marquise brown,+3500,2.78
tyquan thornton,+4000,2.44
cade stover,+4500,2.17
xavier hutchinson,+4000,2.44
juju smithschuster,+4500,2.17
cj stroud,+4000,2.44
brashard smith,+4500,2.17
jared wiley,+6500,1.52
robert tonyan,+7000,1.41
jalen royals,+9000,1.1
british brooks,+9000,1.1
elijah mitchell,+9000,1.1
dare ogunbowale,+9000,1.1
jakob johnson,+15000,0.66
jalen hurts,+550,15.38
saquon barkley,+600,14.29
omarion hampton,+800,11.11
aj brown,+950,9.52
ladd mcconkey,+1200,7.69
devonta smith,+1200,7.69
oronde gadsden,+1300,7.14
quentin johnston,+1300,7.14
kimani vidal,+1400,6.67
dallas goedert,+1500,6.25
keenan allen,+1700,5.56
chargers,+2200,4.35
eagles,+2500,3.85
justin herbert,+3000,3.23
tre harris,+4000,2.44
jahan dotson,+4500,2.17
tank bigsby,+4500,2.17
tyler conklin,+5500,1.79
britain covey,+5500,1.79
will dissly,+6500,1.52
xavier gipson,+5500,1.79
jaret patterson,+6000,1.64
darius cooper,+6500,1.52
grant calcaterra,+7000,1.41
scott matlock,+8000,1.23
will shipley,+8000,1.23
aj dillon,+9000,1.1
derius davis,+9000,1.1
keandre lambertsmith,+10000,0.99
kylen granson,+12000,0.83
cameron latu,+17000,0.58
